0000109A	Sign function
0000A73C	Partition
00047B8D	Step detection
0004C188	Time complexity
0006D35F	Index case
001469B0	Facilitation
001FC4C8	Clinical neuroscience
002EB437	Lamina densa
003854D3	Oxygen-18
00398860	Smoothing
0040F719	Fish ladder
00424E99	Scientific research on the International Space Station
004E38C1	Unary coding
004E8A84	Autonomous System
005185A2	Micellar liquid chromatography
005412C1	Interpretation
0055F162	Livewire Segmentation Technique
00578AAC	Clique-width
00615888	Civil drawing
0064810D	Software technical review
006664B8	Earthflow
0066A586	H-infinity methods in control theory
006B8143	Preprophase
0070E49E	MathML
0072A880	j-invariant
007561B7	Stellar birthline
00785CB0	ROUGE
0081698F	Accumulator
008C681A	Articulated bogie
008DE786	Secularization
00A14B34	Dance improvisation
00A1979B	Tolerance interval
00A3BD2F	PKM2
00A61AA7	Obstetrics and gynaecology
00AA5811	Specific fan power
00B28BA6	SCCmec
00B76D58	Bone remodeling period
00B9C55E	Risk assessment
00BF4337	Potash
00BF85CC	Somaclonal variation
00D29813	Z notation
00D3D35E	Energy economics
00DB6C0A	Thermodynamic System
00DF7C87	Bellman equation
00E1C098	Steam turbine
00E1EFF1	Certified check
00E7327F	Metagenomics
00E7CBC4	Explicitly parallel instruction computing
00EBE93C	Pseudo-differential operator
00EFA09E	Proof of the Euler product formula for the Riemann zeta function
00F2C994	Law of tangents
01056C6C	Adaptive Simpson's method
01056F50	Concatemer
010599EB	Bootstrapping
01086E61	Thalamic stimulator
0109426C	Special core analysis
01163129	Ionizing radiation
01172CBA	Bad sector
011AD2DA	Gold cyanidation
011C8360	Network resource planning
011CD827	Groupshift
0126016E	Faster-than-light neutrino anomaly
012EAA2E	Interbasin transfer
0131E1E8	Great Trek
0134FB7F	Evolutionary game theory
013908FB	ARCNET
013E225B	Adverse yaw
014567C0	Class function
014B9042	Otsu's method
01562706	Sputtering
01570662	Scattering-matrix method
01574794	Situation calculus
015843D4	Videoconferencing
015BA7E1	Optical path length
015C1212	Duck typing
015DD948	Position fixing
01663404	Brake
0166DC5C	Rhythmite
0166F8D9	Neuron-derived orphan receptor 1
0168831F	Condenser
016D22A3	Pun
017393A9	Digital humanities
0176F3CD	Thomas–Fermi model
017750CD	Global information system
0180C496	Padding oracle attack
0183370B	Debye model
01862D39	Hilbert–Huang transform
018AB6CD	Puppy face
0195CF53	Constructive dismissal
01988D17	Russell bodies
01992BF2	Phyllite
019A6E30	Earth Orientation Parameters
019F6D6A	Coxeter graph
01A3DB67	Standard-setting study
01AD8086	Neon lighting
01AF64C6	Natural abundance
01AF7CA0	Continuous-repayment mortgage
01BBEDCF	Producer Price Index
01BC9346	Concerted reaction
01BCBEC3	CCL13
01C15460	F-test of equality of variances
01C24E07	Direct repeat
01C5211B	Hamming graph
01C76C9C	Shoulder rest
01CD3F45	Stagflation
01D637D4	Microsoft Binary Format
01D7FC80	Beatty sequence
01D904C1	Box–Muller transform
01DCE2A1	Water injection
01EB23F0	Acoustic quieting
01EC613C	Self-justification
01ECC9B7	Multicast
01F13E01	Data deduplication
01F472F6	Geophotography
01F909B8	Rotational invariance
